"","x"
"taudem",0.229831743930055
"tauenv",0.298175655394675
"log.betaz1",-7.82937673864486
"log.betaz2",-2.56129501858445
"log.betaz3",-1.44978999328193
"log.betaz4",-0.825150182520723
"alpha",-0.00527657915969756
"eta",0.32869746796856
"meanp",-3.4270872630643
"sigmap",2.07575313281579
"mu",0.0600724823344001
"cc",36.9188804798333
"sdbeta",0.265794402188459
"prey.0",0.472461670593985
