,taudem,tauenv,log.betaz1,log.betaz2,log.betaz3,log.betaz4,alpha,eta,meanp,sigmap,mu,cc,sdbeta,prey.0
lower.bound,0.001,0.001,-10,-10,-10,-10,-0.1,0.0001,-10,0.001,0.001,5,0.00001,0.0001
upper.bound,2,2,10,10,10,10,0.1,1,0,1,1,1000,1,2
